物件名,所在地,家賃,面積,坪数,飲食可否,掲載サイト,詳細URL,住所取得可否,latitude,longitude,家賃数値,面積数値,坪数数値
ガーデンコート高松２Ｆ【大工町】テナント,香川県高松市大工町7--1,"330,000円（税込）",124.95m 2 （37.80坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002440,未取得,,,330000.0,124.95,
オーレックス西宝　１Ｆ【西宝町】テナント,香川県高松市西宝町1--16-26,"30,000円（税込）",38.83m 2 （11.75坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002336,未取得,,,30000.0,38.83,
岡ビル１Ｆ【瓦町１丁目】テナント,香川県高松市瓦町1--１３-１０,"66,000円（税込）",28.12m 2 （8.51坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002345,未取得,,,66000.0,28.12,
高橋ビル２Ｆ【松福町】テナント,香川県高松市松福町2-11-18,"55,000円（税込）",37.13m 2 （11.23坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002006,未取得,,,55000.0,37.13,
新田借地【新田町】,香川県高松市新田町甲-573-6,"165,000円（税込）",830m 2 （251.08坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002633,未取得,,,165000.0,830.0,
ウッドネスト香西テナント101号室【香西北町】,香川県高松市香西北町79-10,"49,500円（税込）",60.04m 2 （18.16坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002600,未取得,,,49500.0,60.04,
チェリータウン103【桜町】テナント,香川県高松市桜町2-15-46,"49,500円（税込）",48.58m 2 （14.70坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002594,未取得,,,49500.0,48.58,
ＭＮ店舗1Ｆ【香川町川東】,香川県高松市香川町川東上1764番地,"121,000円（税込）",168m 2 （50.82坪）,,可,テナント香川,https://www.tenantkagawa.com/article/search/00002548,未取得,,,121000.0,168.0,
山下店舗【上之町】,香川県高松市上之町3--9-40,"50,000円（税込）",39.89m 2 （12.07坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002381,未取得,,,50000.0,39.89,
内外テナント1階【国分寺町福家】,香川県高松市国分寺町福家甲823--3,"300,000円（税込）",108.27m 2 （32.75坪）,,可,テナント香川,https://www.tenantkagawa.com/article/search/00002366,未取得,,,300000.0,108.27,
三谷倉庫付事務所１棟貸【木太町】,香川県高松市木太町-3173-18,"80,000円（税込）",104.34m 2 （31.56坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002247,未取得,,,80000.0,104.34,
アイアイビル1，2F【南新町】,香川県高松市南新町5--3,"660,000円（税込）",352.16m 2 （106.53坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002275,未取得,,,660000.0,352.16,
あかねビル１棟貸【茜町】,香川県高松市茜町19--12,"777,128円（税込）",691.36m 2 （209.14坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002282,未取得,,,777128.0,691.36,
オフィスビルいずみ東棟１F【上天神町】,香川県高松市上天神町780--6,"330,000円（税込）",180.87m 2 （54.71坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002286,未取得,,,330000.0,180.87,
オフィスビルいずみ東棟2F【上天神町】,香川県高松市上天神町780--6,"220,000円（税込）",207.89m 2 （62.89坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002287,未取得,,,220000.0,207.89,
オフィスビルいずみ東棟3F【上天神町】,香川県高松市上天神町780--6,"165,000円（税込）",209.99m 2 （63.52坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002288,未取得,,,165000.0,209.99,
Sunriseせきもと１F【中央町】,香川県高松市中央町15-15,"50,000円（税込）",46.53m 2 （14.08坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002151,未取得,,,50000.0,46.53,
オフィスビルいずみ東１棟貸【上天神町】,香川県高松市上天神町780--6,"550,000円（税込）",584m 2 （176.66坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002223,未取得,,,550000.0,584.0,
貸倉庫 新田町倉庫西 1階,香川県高松市新田町甲,22 万円,154.50㎡,46.73坪,確認必要,植村不動産,https://www.uemura-re.jp/kasi-other/detail-682728ded63cad74d6bc85b5/,未取得,,,22.0,154.5,46.73
貸店舗（一括） 高松市 六条町 (水田駅) の貸店舗（一括）,香川県高松市六条町,25 万円,182.38㎡,55.16坪,可,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-58bf9517e5a69c0e2c12e0ed/,未取得,,,25.0,182.38,55.16
